hash,type,question,answer
198819b9502df8b0f5fff7b47e6559a5,1,部,おおざと
7ce037e74eeabb2aaa9609916a5640c7,1,海,さんずい
c5138cc48bdb8d3ebbd25bf0620aa907,1,泳,さんずい
ed91ef6e8d32d9aa2146eabbc8796a91,1,池,さんずい
877c2dba17cdb9cd96ef615f5435bf57,1,話,ごんべん
4ca0c3386d54f0b8e68db0ca2833d039,1,語,ごんべん
5d213620ab32e0e4866c97ea7a8a3b9e,1,起,そうにょう
a2c844285ebbc6af14b2397336e1144e,1,進,しんにょう
c6515c4b11b6ddaba43b05b01c1b61c0,1,道,しんにょう
4a229f78564526f9eb493c8db782ee3e,1,近,しんにょう
2c8c63f34cc213e2f265501b7ac6454a,1,遠,しんにょう
13059cc5ba5716e52426cf002fd3b280,1,書,ふでづくり
82e5ac7e23706eee4d7fc3f81da959c8,1,図,くにがまえ
c1c03bc9e1a7aa01f0819b180050de1b,1,国,くにがまえ
f924c08c674c5e92105cbc65422d69b4,1,学,こ
bffe0513476ea4dec6d47e795a8fabee,1,教,のぶん
d89ad3c8629e4140856079c3e6b3c6ad,1,問,もんがまえ
62772ad4f03556b7fb7774f4939978f4,1,聞,もんがまえ
b2dc037e0e38bb2f326d08a33ac2d946,1,読,ごんべん
fbf3e73816e4c68850716dabbceec1aa,1,情,りっしんべん
1618ed5936446c5459659a91e74c66d3,1,節,たけかんむり
b36b10cf1f99f937fad2c024a02e4022,2,食器,ショッキ
d31c133f6fccc6e3784cbd5e01aad6b1,2,倉庫,ソウコ
12deb33237810fe8a1e775c9b6c7daec,2,米倉,こめぐら
1cfba0b72a471d4d2512fb948d7034e1,2,巣箱,すばこ
29789ae30102ea68410068a521f7f1f3,2,感覚,カンカク
a8c45d06eec574d6944374b634180803,2,労働,ロウドウ
f3f3df7572751ade409c050cc456ac13,2,失礼,シツレイ
ef9d1a19c785ac70216287ad3f2a09b8,2,小包,こづつみ
b60e139d01437b047eacb2a1ca340c44,2,包丁,ホウチョウ
27979a336f280a31ce4e027a2ef5b1c1,2,例題,レイダイ
5b977750d4ffe2f491401afe3861c2c8,2,名案,メイアン
4e5c3f8955093eea9071438333de3de7,2,相続,ソウゾク
5a55d9a2fccfd3f2bcae8874ba33e4eb,2,変化,ヘンカ
f76323f5f2d5b08d58adb5605c6001bb,2,伝記,デンキ
6737cab5d3a8555eb1c763643f60c574,2,伝言,デンゴン
c54f9d40624c612b9f9d7471850e11c1,2,楽器,ガッキ
f3a796a930aa9cafe44f8057da4048db,2,続行,ゾッコウ
c173bafa3b337950ddabd3b39c800ac1,2,借用,シャクヨウ
43494d471efdd774846c79ae83b89932,2,探求,タンキュウ
e184bb8fbde92255ca6c8edbdbe8e205,2,目録,モクロク
e3797aef8b0f95107a449fe2aba9cfdc,2,努力,ドリョク
e1a4e69563582354e826c12ac0220850,2,自然,シゼン
51a3fecfd307fb7bdff1a57345bf5d9b,2,天然,テンネン
a2fa11d41873a0d1ada2e451086e0bf8,2,分類,ブンルイ
1efb6ce9f8f8b5e8433797ea0e6e3e7d,2,法案,ホウアン
120dc13ed020bcbf2e8c39fb016b3291,2,資料,シリョウ
b505ab5aae6cee8f03cf6de9e1f22959,2,別紙,ベッシ
951b39d3073b7a979e96b63a378136ff,2,持参,ジサン
d95b63e0f721e0ed0aaea7c876aa3d42,2,加工,カコウ
3381779117758fce78e24be4cff08756,2,発芽,ハツガ
24c048086594bbc86535e257469ff392,2,新芽,しんめ
34e05e57c2f0673129bb06c41b70cef7,2,司法,シホウ
3f2fd8055e8d5d7d7ab58ceb1522ffeb,2,自立,ジリツ
893075b89583ddae69aecaaccf3be976,2,辞意,ジイ
d1ea1b40a75bdc0e0142478f746a3523,2,古典,コテン
8d8df17a2428108185cd0d2e378bdd78,2,育成,イクセイ
474a21d7c9c676ef75926c4f1b45bac0,2,社説,シャセツ
34edf03ddcd5a3e0695244341fb8ad72,2,関連,カンレン
1d3c13d71200fc5a28e0b761d33c3cd7,2,順路,ジュンロ
118a71db88f268a25b1ebdfe06fb07a9,2,家訓,カクン
037b31f179f52dfcc2692b28910f8759,2,業種,ギョウシュ
7a40dd07a85704483e3a56d6381728a4,2,軽便,ケイベン
c9dc118fa6243ea4dc9221d9a87cc29c,2,便乗,ビンジョウ
c5dd0cdaaea134238fa99f6393aa5837,2,利発,リハツ
c7e1520646d11532e9907830e6630cad,2,治水,チスイ
d3d7117049c0ae1a92b6bac6a7413c23,2,湯治,トウジ
170e333a0357e941db78292e6f39fb02,2,観客,カンキャク
f39b43a3cc4aa094c34aaab4b0641f85,2,察知,サッチ
04a9d052644251f01aaa01cf1d2a663f,2,受験,ジュケン
5f64627cefb1747a6af16cf69e76629f,2,友好,ユウコウ
fef74df9609a5f6d7ba03cb3a0e25f47,2,飛来,ヒライ
255760f227303b5c0ded4fe0eeda3d84,2,関所,せきショ
c65f24ea2a75704405fef884be0002d0,2,関心,カンシン
32678ce3318fd6f651210b81c18e1082,2,博識,ハクシキ
4b44df32a9841e4e1f6a62f3bbf37204,2,直結,チョッケツ
6b59aa1366d4c5970f283852ebb68cb1,2,青果,セイカ
d324c69aec5df8960c15b20e8bfd997d,2,待機,タイキ
502682056d4cc2a64f6e05a6fe99eea5,2,重量,ジュウリョウ
92fd375c4d90181984356219606f3d46,2,熱湯,ネットウ
3483590224f0ec8f89b7a1d9bc8860ea,2,清新,セイシン
7e4d98906c4f0927ba2babb05eed8044,2,漁船,ギョセン
7e3942d9a97f1b577104ecd5bb6db5ed,2,出漁,シュツリョウ
e7f5bba7423d088693d023c7e00d4bda,2,害悪,ガイアク
78cc35f0d7b51a1f8935e7d594c32bf8,2,明朝,ミョウチョウ
c911f7251b7ce295cff884aa13de9aff,2,清水,しみず
696dfd787c2ac1a32410e5973d5c1f81,2,教材,キョウザイ
0490492f153d776caf3b437adb689db2,2,完結,カンケツ
a665eef00a8ac60b598fb91341d5b7db,2,売約,バイヤク
87e9fda37082792f77892a845932b4b3,2,結束,ケッソク
08221a8e96e8728be1545d0c86eeba8a,2,花束,はなたば
a9d33f3fb04cea294ee7d36a0ca7f731,2,観客席,カンキャクセキ
4c6f2933d88863fd7b856587dbf60ece,2,首位,シュイ
9d1690b39653b2a5c176eb5bfe79f4fd,2,気位,きぐらい
1443de47d7d663d97139b619fb220380,2,微笑,ビショウ
7cf2ed87ee0c643957e539d038159e1e,2,特色,トクショク
e7d2d8bbdc2c7830a3fd42423b78692e,2,燃焼,ネンショウ
c430e4a567e6f6b7a6cbebf92cbbe07f,2,競泳,キョウエイ
8ccd4bef1a927178b0d7ee5b2d32d635,2,競馬,ケイバ
5f8d5d65f0622af96d853d90d3adbeb6,2,初期,ショキ
009194faabf84c20c92abb7a063f9821,2,初荷,はつに
fa2c3b9294093f7277b4000bcbb6e28d,2,旗手,キシュ
11c946852f29ab74f1fc27701dc4dce5,2,旗印,はたじるし
b695f5b9e24afeb78a471fb1ae7c5c45,2,最小,サイショウ
9f453df5ee12a3c65dfbf43946b4c351,2,走法,ソウホウ
f3f24ca954fa84254958ac1b3b9d7be6,2,昔話,むかしばなし
01518d6761f82646212f57f07be81d72,2,服用,フクヨウ
14b4b983b349bde35264604203190524,2,両親,リョウシン
707936a5ea265911eae4f88b3358b7ad,2,軽食,ケイショク
acb5d5ef0b0e046d2d7fd44cb1686685,2,手軽,てがる
1473491c616c94a6062bbba39a68dc3a,2,雨具,アマグ
fe890fd8c236b0fb30952c948c40241f,2,体温,タイオン
e9c098561e928d2cbdea0d22ce546ee6,2,速度,ソクド
7177189dab11ab20dd9b4802e78d28d5,2,美学,ビガク
8d35bb2295ce5d40f61909da3f683f4f,2,長短,チョウタン
20667fcf6b98186405bd19e41ca45840,2,整地,セイチ
6d345371dd77da8b4490105efa8c084d,2,指示,シジ
1e3507935f28bd9ea4b157c5b8ebe1e0,2,植物,ショクブツ
63589337ee856942eaf7979e3c4e2f35,2,研究,ケンキュウ
855975a8fe0a2281ea52da0bc201ee88,2,追究,ツイキュウ
285777adce86a014d98315598a51d744,2,水深,スイシン
5d99423c9553b15cd606521be651d65a,2,代理,ダイリ
0bdb5b38fde0d15a6c75d122e9940219,2,千代紙,ちよがみ
0d024f263904123bc63ef374153dc6f8,2,細工,サイク
1452ec66e80df03d6b395dc306e13228,2,乗船,ジョウセン
d395316f7896e7b9a5b7702f0a97c68c,2,飲用,インヨウ
c2daf1960de0507b1b69965acd38f3b4,2,流星,リュウセイ
ea524af17e0a1be50196834ace0b1f3c,2,木炭,モクタン
57c31b0300c52c81ca7f05e239a50c54,2,炭火,すみび
621ebdbaae693e62f496e75d4f8606e9,2,水平,スイヘイ
272351d41be49a04610b9d6eb0ee75d4,2,和音,ワオン
8fc56b4146ca236ae52c5d95adbeec6b,2,白銀,ハクギン
261c78e83a721bd7afaeda84be21e1cb,2,鼻声,はなごえ
04e1daa92e383581bd1ed406bf167e87,2,神父,シンプ
e54285e3257000bb1c567c74775b392e,2,神様,かみさま
0e51ef416d66f0c237042cbe55c14370,2,祭司,サイシ
10b999eba02ee3f42d3aa0d456a2cee3,2,歯科,シカ
2e3233f2e2864b95602e91e1b58f6a9d,2,歯車,はぐるま
6ee6ae9580e8ca6167633692649bce35,2,校医,コウイ
e062bd001c2f4744d69d22dd0ce45411,2,坂道,さかみち
03e0181fa69a2b55ba1c5310faa42ba7,2,火薬,カヤク
81b83dddee92948e6408edbd205de2e9,2,薬箱,くすりばこ
92fd375c4d90181984356219606f3d46,2,熱湯,ネットウ
ae5e6593310a73296142e800f3520fc0,2,湯水,ゆみず
2f76cc287a525beb7d36a42789018145,2,他者,タシャ
ef98a1be1e55d283075f0b0897c88679,2,対話,タイワ
59ddbdbc7fc2d68a7b041b379dd2a0ec,2,乗馬,ジョウバ
d1f5ca3aa084c945855071874e270c60,2,店頭,テントウ
c0697210a1081530553da10f7abd3d23,2,星雲,セイウン
f63eb0775e016553e16202f476da6deb,2,電池,デンチ
ea53d505c39b07449dc964cda6e6e813,2,洋服,ヨウフク
13b669ff91833077b287395b3e368e13,2,湖面,コメン
828ebe1dc94e7f7a3fa2f7771835e3d2,2,酒類,シュルイ
62ca9404323b1e5e3efe5eb0823f5509,2,酒屋,さかや
5498c05396b422b95e64ce979dbbdbeb,2,甘酒,あまざけ
1095d13f9b717871ca3c94be457ab7cd,2,油田,ユデン
7aabd025dad3dc15e6e76f4fa1b5a053,2,油絵,あぶらえ
c30996a5708d5c1559ef6adc2e257e19,2,拾得,シュウトク
3ec6a8f2b20ccd2ce26eb5f753c7f417,2,羊毛,ヨウモウ
541200712deb5e460060c6ff9a53d628,2,羊雲,ひつじぐも
39763e5c78debf3906dd1b4101f4712d,2,駅長,エキチョウ
c2a85a8d552212fcf127cc4f5877d02b,2,入港,ニュウコウ
ff6fdc406e536e992724df41b400402c,2,港町,みなとまち
5b982fcf6043a33434ac453314fb9611,2,世界,セカイ
3fa598db57c2594aac33fd58ea67d32a,2,期日,キジツ
97445f5329445bc0a9c7a55b5cd7b371,2,勉学,ベンガク
13a66fa8db14b4c44dca1ae79a4e5e75,2,進級,シンキュウ
4b9d2acc68713e0e094f8a38375f42a7,2,形式,ケイシキ
17288f5c3efe975b16ebb4571079824a,2,前列,ゼンレツ
ca0a0825726cc5ad39d45126e15a13b6,2,予感,ヨカン
4c49e2750ee26df0a87f25778d11fd89,2,会談,カイダン
901210802ff25c2c20a34c014d3ca565,2,反面,ハンメン
17daf486581ea36366502d8b10f0c02f,2,千里,センリ
f2cfed3c97ccd50813d908effabfb873,2,音声,オンセイ
208ca63c573a771620b610e70f7dfebb,2,同時,ドウジ
7d4a783a4c9e67be9ae9899694594ce5,2,読点,トウテン
bacd6d1da736403768984338321379a0,2,注目,チュウモク
b39926490398c75454abcb6f8c9dab4d,2,暗黒,アンコク
1ed701e9428d93bbf605ff40aaf4bc42,2,悪意,アクイ
04debcd48d562da01bfc9654f1948ada,2,海岸,カイガン
42e3681735de769f47243dbbe9a02442,2,川岸,かわぎし
17944fee6083dd183d460bcd96a6efb0,2,開放,カイホウ
539d3e77d4e04d9bdb8c982588f7a51c,2,幸運,コウウン
ad644bd28dc436a2644379b55b78eb00,2,悲鳴,ヒメイ
94b0b87311978546706ef492c8bdb380,2,竹林,チクリン
74567f9a08775be9953882480872272f,2,新聞,シンブン
bf487a09fc450dc82df22d159d6a36e6,2,商売,ショウバイ
9c206b0ed299da505d43d110b2204ae3,2,昭和,ショウワ
122f85b98d65985c1326721a18009282,2,帳面,チョウメン
c3d7f75e7459177f65d9fb27d6ed44af,2,金庫,キンコ
2e25afeb34a1613474022ec3bd6d4521,2,運転,ウンテン
e13cf834e79fa83921714201ecae84a8,2,落第,ラクダイ
7718759508a2b189233bec5dd9e0768f,2,七福神,シチフクジン
63a3ebf4557bd65fac217c94cb6d98f7,2,平等,ビョウドウ
9b6b877835ac28f7884e1fa22c1c2090,2,定食,テイショク
68990011872a2b263b7d3606259de6b2,2,宮中,キュウチュウ
eed10430c9e627574ec6205b7b787a6f,2,合宿,ガッシュク
8263ec5415af22631d7906c7e698894a,2,宿屋,やどや
6c9f223b2b4b9c5a32a3c0999df708c3,2,追想,ツイソウ
8f5725cd4b89b2d554801e6b0c9dbcd5,2,庭園,テイエン
4c94427b1be4617e3b2d90c0e7d1793e,2,庭石,にわいし
5e250e2f9280968fda4013af1895bd72,2,古代,コダイ
25f0ded75d1117d8340476b7df2c55f9,2,八百屋,やおや
cb5481a1d2db27bd2587c6cc4cc2e311,2,旅館,リョカン
86ca6b0cc74060e7bdd7b4a1f5a29753,2,旅先,たびさき
dc348a0a139dd69ff9e33319d3d45bff,2,休息,キュウソク
8e58e9867905e2dabbd1ac939315d9a3,2,音階,オンカイ
502682056d4cc2a64f6e05a6fe99eea5,2,重量,ジュウリョウ
03818118f2ce3dcd4df4184730cdc8af,2,貴重,キチョウ
8985c84dcc4cc89a075f3fa3fa1abe3c,2,九重,ここのえ
7ad45c61af1dff83f01a8e5113c0c811,2,花畑,はなばたけ
d320b45b84333ec18e61a1b48457f688,2,畑作,はたさく
7c44e976e17962dfcf3f9b00ecb860b0,2,消去,ショウキョ
ff3587beabea892a18fe0f7f55e65cea,2,過去,カコ
8950e2ba45e43f082e4214edd61d89fb,2,礼金,レイキン
9c7750986546550fca2ef0d00a5c2b1b,2,期待,キタイ
207bf8726a7c82400ea32b121dc9c73a,2,待合室,まちあいシツ
e07df1c576913803aea5e75306faff58,2,秒速,ビョウソク
a37ef056a0334ff14db1423e5e3f5777,2,病人,ビョウニン
e2db95005dbcde840af71741207ef3f2,2,学童,ガクドウ
e81fc06d1cd9445c1a5d9ad9214c4c26,2,汽笛,キテキ
0a8f0eeefa0e3ba5d41984f254dbaaea,2,口笛,くちぶえ
86700326dd99aa97f6b6c8f082280a04,2,電波,デンパ
f25cf4f5d2bf58af9487c0fb269c9385,2,高波,たかなみ
39a25b2ba666effe5b807e06aa993119,2,少年,ショウネン
10999ff1e1ee8f96e07a260cb71c3141,2,多様,タヨウ
cf05ccad74f4947ee66ad5f04dbcc2c6,2,土地,トチ
f147e7b59b6e5ebcf730aadaff9d9d5b,2,自力,ジリキ
1a7b34ebcc7535f3e56399643b105e3f,2,口調,クチョウ
ccc2c4e9e285f9df4edca9815a62c0c3,2,部首,ブシュ
02e6d9c5eae8fc2497aeb670ad73dea8,2,子葉,シヨウ
451cc8405d868da92befebb4dad4a411,2,青葉,あおば
ed3b59008f29c8cd25909abbbef9776c,2,起立,キリツ
5bef6a5f30862c0975844ae55615d794,2,速力,ソクリョク
23bc32a94c089ddfa7197e41b6a0c2f2,2,水面,スイメン
ce365609814430786f50dd6bfa22eedb,2,方向,ホウコウ
3af5d81f8fa09fbf45cf12c8c6f7c7e8,2,新緑,シンリョク
5d546f819bb6b68f204d07289a9bb537,2,緑色,みどりいろ
f3fe43289f17b9feccd1e2ea6ed55dec,2,感動,カンドウ
1e994b9201c9e8dceacd947913f781f1,2,豆苗,トウミョウ
17a8454c79ad7e393125b9ce599f2949,2,大豆,ダイズ
16c4d181bd66622a9e9625c43620f01c,2,黒豆,くろまめ
8e2e2a792c4bf95e6702389c053aaccf,2,書物,ショモツ
6c231a951732a2acedefc2fab870c475,2,人物,ジンブツ
dda6eb32c2073b92bce1dfe55669aa59,2,物語,ものがたり
5cb515b66c10a40d317ee00617a268f5,2,同様,ドウヨウ
277b058cca88ab94cb321545bc9f3028,2,王様,おうさま
ff62e42c770d70d2449ac20d3cababbe,2,仕方,シカタ
ee2a102cad5649f58d8afbf14c8ccc21,2,様子,ヨウス
e1b2e393e3428ea714a2da3b6b3776e0,2,会話,カイワ
991b37fbf616bb7d8e370f81c1cadf39,2,訓練,クンレン
e4e12247f79ed65eed3645a80e9ac0e4,2,練習,レンシュウ
44e742da9bad20e32453e6c0e91e8822,2,本州,ホンシュウ
831bd93b77469b15d2139bdcddcc5f7a,2,中央,チュウオウ
0baef7330933912772b722469e8f9832,2,横行,オウコウ
8c977ec37be5b648a92c80005454103f,2,横顔,よこがお
2e23b8670bfbea984874c5287284956f,2,倍数,バイスウ
f3f720aad8dc1abaf2de470ce71dd59c,2,会館,カイカン
a6a5b8d57f0046ba93c715f2cc94baf2,2,事典,ジテン
78d0cf57006e3f8f45165f2fd75d36e8,2,仕事,しごと
3f1e4e5f10a4a5dbeb10d7322554ad00,2,番号,バンゴウ
b909e1982f468c737912cdcecce6e350,2,大使,タイシ
d7cc8a19eb932953cf44523b10f3491a,2,意見,イケン
724fc5a9df0d47981399fb4b9d463c11,2,味方,ミカタ
d7a515c1a7b4a41e4b1c2aa19d71149e,2,風味,ふうみ
75a3572a26a18f77feda1e31e6a01214,2,漢語,カンゴ
e70b7ac6eafb7f42788c590c6d57c269,2,表現,ヒョウゲン
02763c0dffeafef2743ded24da9c4c3e,2,調子,チョウシ
e876bfdf0975805600ece619230b3be6,2,門柱,モンチュウ
3518b543c948ed01a4f76f8dda9add7a,2,貝柱,カイバシラ
48a52aeb066e1fcdff76f5b2a77bbdb1,2,台所,だいどころ
55fc5384c4e5da665e082eb7d2bc65cf,2,近所,キンジョ
465ef2d6eeaef04cde4933a44e9bd0b9,2,早朝,ソウチョウ
218480e64e60b21c608895a75d5fe078,2,歩道,ホドウ
63d985b7fe585133ada346eb1d94228c,2,合計,ゴウケイ
2dbf70dddd48dd6a094c9659048a9b55,2,目次,モクジ
a8d27a8ff9ecdc6daa0c10d2470da31a,2,引用,インヨウ
9beac15a5ffc2cc6fc1a47c89d383a71,2,内閣,ナイカク
140da31f98a103975ef63bb4737960ab,2,取捨選択,シュシャセンタク
a530853acea25a5d6826ba8a656a185d,2,局地,キョクチ
c3e1796003426a02321edbb1f6f4ebdc,2,分配,ブンパイ
3bf751bc6abd00ce579340e976ae02a4,2,住所,ジュウショ
a49badda4b1f2b0e5e9199ab92eab4e7,2,親身,しんみ
ec6d8b09cccffcd48b3ced10680aab97,2,心身,シンシン
a3bab1230e440be2c48a7684b456df06,2,発育,ハツイク
2b6120bb21fca23e17e05ef1398ffa6a,2,守備,シュビ
886bc55bd82725fb4ea382957c81775d,2,留守,ルス
024f429696299cb6c4007b76343061e3,2,決意,ケツイ
6d630ba9902629e184293bff1152b081,2,自動,ジドウ
bd0b72211aed6ccbe554f16efe08d855,2,所持,ショジ
f49f81a81c2733700805fd03d5b491e7,2,学問,ガクモン
bf0d075739e85853a2f0e25bb5d55fb1,2,画題,ガダイ
37d264de7f75f6533a3de5893baef5b2,2,部分,ブブン
e09d44b5bcf3bf7958c27b1ab3c59d64,2,鉛筆,エンピツ
d4635053912325f676bae805cd352050,2,絵筆,えふで
252907ddfa579cd27fd770992a0e1dde,2,読者,ドクシャ
97962e206aded3607ee17391b4a700f7,2,人気者,にんきもの
3b5c1a50dda87d0010d820d133a24a36,2,都合,ツゴウ
08650364108d4c2d681d28c45d58dec8,2,都会,トカイ
304a756b54d69378588516f17130b111,2,都,みやこ
621b8bbeb988633df3596c92fa55de24,2,氷上,ヒョウジョウ
57d7e620270a06103ae3e12fd1cf4868,2,氷水,こおりみず
b6182162cd762c2ca33bbcc5d57026a4,2,遠泳,エンエイ
a167a13cecbc9849ac9c8bfef4dc0707,2,国有,コクユウ
a9da00bc3adc1d97d386803c6f201dd4,2,返答,ヘントウ
a27dfadd670f1e0f23c2b48392648e2f,2,遊歩道,ユウホドウ
277e66471942f9a54fed14cffce3b2e1,2,公開,コウカイ
7be76c92a383eb63194f418c982061c2,2,全国,ゼンコク
3d15a89dff62e6e44de7189749940afd,2,原始,ゲンシ
0c965be0cbb6c817684d6eb8ac649135,2,係数,ケイスウ
8535b48a2107b165fdcb11f410b02312,2,係員,かかりイン
4f62ec4b0c90f11b32a0fb9a30a099ee,2,世間,セケン
a23ee81d941d83295b2d07167f0bbc59,2,中世,チュウセイ
d0eb1f645da61e0cf17f47243c15773c,2,終電,シュウデン
bfec830d58994a9372182b0c2043c835,2,苦楽,クラク
42f5ae9177de31601a97bf9477bc4317,2,苦手,にがて
b0cc452f1857c1a863c47131fed562f0,2,親族,シンゾク
f854291695afc56aa04c70a23f61fc47,2,記章,キショウ
7c13523a26e291136eb99ba58cf2a72d,2,氷山,ヒョウザン
57b3807b2818ef15e1bf7407ead08b47,2,最高,サイコウ
17ef525ab15182a4ebcb7bab0d96b6f1,2,全力,ゼンリョク
db7c75dc64e216ecd096d5bc8dfd5c66,2,曲線,キョクセン
5dc69b726dd3d95c9a470fd93b563e07,2,合板,ゴウハン
535383e5ebfe5f281d354d9e38ba7ce0,2,黒板,コクバン
c89beb4e305d1904ca2a4cb2404567cc,2,板材,いたザイ
d77b15190126f923b5adecf4bcd43a21,2,品質,ヒンシツ
1b2267f165a8ea2d7d9a9567cfebfce9,2,手品,てじな
353d3e7a68429cfba66c91037bf5e942,2,小皿,こざら
67d8cff8ace9327e9a2cab72b33dba64,2,委細,イサイ
9c71ec28f799c4dbedf1241c4a0d75ff,2,委員,イイン
663d4cedb0a4956ea148115e2fa03dff,2,活発,カッパツ
3af090ad6cd0895d739deb815fb544ef,2,半島,ハントウ
38f27452328f1d993747fef71c3bbcab,2,島国,しまぐに
0d0dbb10ab0272b15ae61f2558db6054,2,寒風,カンプウ
7f0a5ac1df3f2fadf2d1f193127f2a09,2,寒空,さむぞら
a785f4ef141a9b08e3248fde5f843522,2,人相,ニンソウ
d66f775aa4d1d89771794cd4cf82fb77,2,相手,あいて
a116307e2794d228bf1d5e48cf7519f0,2,死角,シカク
5f3975c4f54e1390d9ef5303c608fb50,2,君主,クンシュ
2e4736f00c81553dae0523e1a7d4eba5,2,安心,アンシン
f0edb511a4940c1df8b0dcbff7faa491,2,安物,やすもの
3c07ff66b65664f68260041fe75979f7,2,急用,キュウヨウ
84f41ba5fc2cf8b0d3f01a32bc219573,2,石橋,いしばし
6b3532eb30c0153819ca2cfd19b50946,2,鉄橋,テッキョウ
d38b184979f896bdc4568e0a984e1bcc,2,登山,トザン
d0b0c1bfe628b4bc7d20308517db1742,2,登用,トウヨウ
1b91b39fbf0ce87939fcd37c52688f6c,2,牧歌,ボッカ
b6c4b6ff9c38da1b705bee12b0f36177,2,白日,ハクジツ
b56e5585b0bb22a9a1f5a9951ca027e6,2,登場,トウジョウ
f443fdfc9fba8c3e00179cd4449f97d1,2,行動,コウドウ
171297b5a3c5871d8232bbd3a8ea08a6,2,血流,ケツリュウ
f776fe71fb7df3a22c48df05aa8438d6,2,血肉,ちニク
ac2298fd0061c72610586aad7ea30b18,2,申告,シンコク
c4432b41665d54d38a052ef12e8750b4,2,由来,ユライ
f1ec0e8e000f941a4a2dde68b9a6e4d0,2,理由,リユウ
7c4e7cf818e6f670b3a55dc99720bc05,2,想像,ソウゾウ
55883bc9e82ba98b624c99f0c73e2ae6,2,詩人,シジン
384976e4567734b00727aa823df2e8f3,2,文集,ブンシュウ
ef4356afedf75eb8cc4dd06b6e4b225f,2,次回,ジカイ
c70280036137dfb4739034f2d8e98058,2,五十三次,ごじゅうさんつぎ
15d9d76c82205311ff86c330612b28a5,2,暑中,ショチュウ
fd1e1ecc1f774bc82ee1422b06503be0,2,学業,ガクギョウ
e9e422b50316df6274b7192db7637170,2,実物,ジツブツ
6b5980af32b57ea56e6a64cb89b33539,2,農家,ノウカ
1365c3fd8ca546b3fc38b5f899380ddc,2,命令,メイレイ
3f99c7bb962bcdf9881ea4342ad1839e,2,命（訓読み）,いのち
3ccf00ae56e3f315554df8cf2cf80886,2,書写,ショシャ
373c3cf8796cb784a32800a895e684dd,2,金物,かなもの
971de03b124a26440141b4920b7bf414,2,白鳥,ハクチョウ
09bf08a3690a92cb0bd36e83584befaa,2,出発,シュッパツ
f9cd579ab81b46bda21f54de35765641,2,助力,ジョリョク
40affb3066c11e7cc2c69ade46219e8b,2,落葉,ラクヨウ
40dafc13ae3c5ca6eca06de55875f92f,2,進行,シンコウ
e42c3e87f154ed3852c4b6d15b8ff8fe,2,役場,ヤクバ
d41540daec3ffe3871ef8b3a19aeb0bd,2,勝負,ショウブ
c460187596e8bcf9f329f1a7d69370b1,2,決勝,ケッショウ
40f703e660f9852df78d9e60f2afcaff,2,区間,クカン
f31794d7047682af36db9c8ec0d2f4da,2,県内,ケンナイ
ffdb8c7138dc0dcac1846e47bd9b67b8,2,落丁,ラクチョウ
a2da0a2e9d546e46f1bfc59c92853062,2,家屋,カオク
25f0ded75d1117d8340476b7df2c55f9,2,八百屋,やおや
0a8a2ae9b79c9d482ea4d61a9eff33a9,2,根気,コンキ
f579ae36126b54a4a39048fa21927938,2,性根,ショウね
603a000e67459663dd2ecb1160a8a435,2,投書,トウショ
93b4d2be58c8cd0c5d7e59e23b70b459,2,野球,ヤキュウ
e0633fafc5f31db879ef08b458b65881,2,打球,ダキュウ
718008e7336613d3eaf916f977459ebf,2,主食,シュショク
05f86a55c9795cbc2d92009256806fd6,2,地主,じぬし
2e987e090830453c899821acfb6c0228,2,太陽,たいよう
604239bdc4effe7fb4501d468dc8b27d,2,合唱,ガッショウ
68e7e385e61cb0cd870039423d9bb525,2,市町村,シチョウソン
32d550b38f7e135a2b321a8b0d1f7713,2,化学,カガク
8a9452e9ef9b64abae42888202700104,2,鉄分,テツブン
f82a18f52b9e5e4a58106514b7592d59,2,真空,シンクウ
87c6e00b47450c46b5a0c16cff302996,2,真冬,まふゆ
4471e4c5f5993bde5bb1b5231f602c94,2,来客,ライキャク
de229dd387abce62817d144f5c507990,2,着用,チャクヨウ
8155f4f2d5c3b47d771ce54f4f9c8550,2,着物,きもの
7615634968e543ca8b90f6637a58d93e,2,発送,ハッソウ
ca322d6bee19da5555330a5873e11bc7,2,院長,インチョウ
bf279de0be394c4fd414111538dcf601,2,皮肉,ヒニク
e5dec7cfbf0de1b93ed62d99ed559920,2,毛皮,けがわ
6fec821cc4141213c6b97ebcd6127d59,2,受理,ジュリ
b3008f5d473e3bedf6316f4dae3d4362,2,消化,ショウカ
1055349775cc25658f7f38a3a4a71880,2,荷車,にぐるま
53d99313f73ac2bc54eeefa90814cf69,2,運用,ウンヨウ
23f0e626ee0613edc7e34af5ebde1e43,2,陽春,ヨウシュン
7d29f5e0d73d0f6ebfbdf6238a62fc96,2,路面,ロメン
a8ca3f602f8b2323ee8ae2c2cdb11062,2,家路,いえじ
af23d747c5c9d599a6100ea360f51696,2,気楽,キラク
cd677921ceb34b4ca3a1a95f9b645c32,2,真面目,まじめ
